id,name,lat,lon,elevation,inception,zone,zoneid,location,locationid
100683,Porvoo Kilpilahti harbour,60.3,25.55,2,2014,NA,NA,NA,NA
100907,Jomala Mariehamn airport,60.13,19.9,2,1950,NA,NA,NA,NA
100908,Parainen Utö,59.78,21.37,6,1881,NA,NA,NA,NA
100909,Lemland Nyhamn,59.96,19.95,9,1958,NA,NA,NA,NA
100917,Jomala Jomalaby,60.18,19.99,11,1971,NA,NA,NA,NA
100919,Hammarland Märket,60.3,19.13,3,1977,NA,NA,NA,NA
100921,Kökar Bogskär,59.5,20.35,4,1982,NA,NA,NA,NA
100924,Parainen Fagerholm,60.11,21.7,3,1989,NA,NA,NA,NA
100928,Kumlinge parish,60.26,20.75,23,2000,Boreal,6,coastal on island,3
100932,Hanko Russarö,59.77,22.95,6,1881,NA,NA,NA,NA
100934,Kaarina Yltöinen,60.39,22.55,6,1927,Boreal,6,coastal on land,2
100945,Kemiönsaari Vänö,59.87,22.19,10,1990,NA,NA,NA,NA
100946,Hanko Tulliniemi,59.81,22.91,10,1990,NA,NA,NA,NA
100947,Turku Rajakari,60.38,22.1,3,1991,NA,NA,NA,NA
100949,Turku Artukainen,60.45,22.18,8,2003,Boreal,6,coastal on land,2
100951,Kemiönsaari Kemiö,60.17,22.76,12,2009,Boreal,6,in,1
100953,Hanko Tvärminne,59.84,23.25,3,1962,NA,NA,NA,NA
100955,Salo Kärkkä,60.37,23.11,2,1936,Boreal,6,coastal on land,2
100965,Raasepori Jussarö,59.82,23.57,17,1990,NA,NA,NA,NA
100967,Salo Kiikala airfield,60.46,23.65,117,2002,Boreal,6,in,1
100968,Vantaa Helsinki-Vantaa airport,60.33,24.96,51,1952,Boreal,6,in,1
100969,Inkoo Bågaskär,59.93,24.01,13,1954,NA,NA,NA,NA
100971,Helsinki Kaisaniemi,60.18,24.94,3,1844,Boreal,6,town,4
100974,Lohja Porla,60.24,24.05,36,1949,Boreal,6,town,4
100976,Vihti Maasoja,60.42,24.4,39,1938,Boreal,6,in,1
100996,Helsinki Harmaja,60.11,24.98,6,1989,NA,NA,NA,NA
100997,Kirkkonummi Mäkiluoto,59.92,24.35,2,1989,NA,NA,NA,NA
101003,Helsinki lighthouse,59.95,24.93,0,2003,NA,NA,NA,NA
101004,Helsinki Kumpula,60.2,24.96,24,2005,Boreal,6,town,4
